opcode,name,source_release,static_contract,liblcf_enum,player_dispatch,player_handler,inventory_status,observation,runtime_acceptance,contract_file
0,End Command,250921,complete_for_documented_250921_modes,,,,contextual_review_required,结束记录；需检查解释器帧生命周期，不能按缺少 case 判为缺失。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/00000.md
10,End Nest,250921,complete_for_documented_250921_modes,END,,,contextual_review_required,嵌套结束标记；需检查父命令扫描和调度。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/00010.md
40,Observed Opcode40,250921,complete_for_documented_250921_modes,,,,native_no_payload_effect_scheduling_unverified,250921 原版默认跳过；仍需核对调度行为。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/00040.md
1005,Call Common Event,250921,complete_for_documented_250921_modes,CallCommonEvent,src/game_interpreter_battle.cpp:224,Game_Interpreter_Battle::CommandCallCommonEvent,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/01005.md
1006,Force Escape,250921,complete_for_documented_250921_modes,ForceFlee,src/game_interpreter_battle.cpp:226,Game_Interpreter_Battle::CommandForceFlee,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/01006.md
1007,Action Times +,250921,complete_for_documented_250921_modes,EnableCombo,src/game_interpreter_battle.cpp:228,Game_Interpreter_Battle::CommandEnableCombo,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/01007.md
1008,Change Class,250921,complete_for_documented_250921_modes,ChangeClass,src/game_interpreter.cpp:749,Game_Interpreter::CommandChangeClass,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/01008.md
1009,Battle Commands,250921,complete_for_documented_250921_modes,ChangeBattleCommands,src/game_interpreter.cpp:751,Game_Interpreter::CommandChangeBattleCommands,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/01009.md
3001,Get Save Info,250921,complete_for_documented_250921_modes,Maniac_GetSaveInfo,src/game_interpreter.cpp:763,Game_Interpreter::CommandManiacGetSaveInfo,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03001.md
3002,Save,250921,complete_for_documented_250921_modes,Maniac_Save,src/game_interpreter.cpp:767,Game_Interpreter::CommandManiacSave,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03002.md
